PDF页码	图片文件	行数	字符数	平均置信度	错误
260	page-260.jpg	101	1558	0.6495	-
261	page-261.jpg	92	1473	0.7370	-
262	page-262.jpg	75	1581	0.6760	-
263	page-263.jpg	115	1814	0.7539	-
264	page-264.jpg	70	1449	0.6400	-
265	page-265.jpg	70	1591	0.6143	-
266	page-266.jpg	55	1027	0.5927	-
267	page-267.jpg	43	1152	0.6628	-
268	page-268.jpg	35	783	0.5971	-
269	page-269.jpg	52	970	0.4942	-
270	page-270.jpg	44	962	0.5568	-
271	page-271.jpg	30	647	0.6100	-
272	page-272.jpg	76	1209	0.4789	-
273	page-273.jpg	33	632	0.4818	-
274	page-274.jpg	36	1096	0.6278	-
275	page-275.jpg	82	1552	0.6524	-
276	page-276.jpg	81	1225	0.6111	-
277	page-277.jpg	63	1001	0.5937	-
278	page-278.jpg	64	1029	0.5641	-
279	page-279.jpg	63	1075	0.6508	-
280	page-280.jpg	67	1186	0.5866	-
281	page-281.jpg	58	1353	0.6259	-
282	page-282.jpg	56	1199	0.5071	-
283	page-283.jpg	54	954	0.5259	-
284	page-284.jpg	64	1232	0.6172	-
285	page-285.jpg	130	1639	0.6738	-
286	page-286.jpg	61	1205	0.6131	-
287	page-287.jpg	98	1185	0.6255	-
288	page-288.jpg	77	1364	0.7208	-
289	page-289.jpg	60	1046	0.6283	-
290	page-290.jpg	49	883	0.5857	-
291	page-291.jpg	64	1136	0.6484	-
292	page-292.jpg	63	823	0.6841	-
293	page-293.jpg	76	1066	0.4855	-
294	page-294.jpg	106	1592	0.7491	-
295	page-295.jpg	47	1326	0.5957	-
296	page-296.jpg	53	1456	0.6434	-
297	page-297.jpg	68	1257	0.5147	-
298	page-298.jpg	73	1254	0.6603	-
299	page-299.jpg	79	1235	0.6734	-
300	page-300.jpg	62	1124	0.6919	-
301	page-301.jpg	64	1423	0.5812	-
302	page-302.jpg	73	1262	0.6548	-
303	page-303.jpg	119	1649	0.7941	-
304	page-304.jpg	56	1518	0.6357	-
305	page-305.jpg	69	1252	0.7058	-
306	page-306.jpg	50	1194	0.6420	-
307	page-307.jpg	49	1242	0.7306	-
308	page-308.jpg	43	945	0.6837	-
309	page-309.jpg	48	1350	0.6771	-
310	page-310.jpg	62	1413	0.5452	-
311	page-311.jpg	46	1074	0.6457	-
312	page-312.jpg	47	785	0.5447	-
313	page-313.jpg	18	382	0.5444	-
314	page-314.jpg	93	1032	0.8118	-
315	page-315.jpg	79	1393	0.5405	-
316	page-316.jpg	47	1339	0.4894	-
317	page-317.jpg	56	1245	0.5696	-
318	page-318.jpg	77	1341	0.6792	-
319	page-319.jpg	165	1216	0.6055	-
320	page-320.jpg	87	1242	0.6448	-
321	page-321.jpg	86	1739	0.6860	-
322	page-322.jpg	85	1661	0.7047	-
323	page-323.jpg	61	1440	0.7197	-
324	page-324.jpg	249	1126	0.6169	-
325	page-325.jpg	103	1401	0.7010	-
326	page-326.jpg	54	1508	0.5741	-
327	page-327.jpg	116	1147	0.6931	-
328	page-328.jpg	64	1578	0.6687	-
329	page-329.jpg	84	1491	0.6690	-
330	page-330.jpg	90	1251	0.5922	-
331	page-331.jpg	64	1131	0.6594	-
332	page-332.jpg	96	1396	0.7375	-
333	page-333.jpg	64	1113	0.4656	-
334	page-334.jpg	61	845	0.5311	-
335	page-335.jpg	59	1624	0.5559	-
336	page-336.jpg	51	1114	0.7118	-
337	page-337.jpg	59	1261	0.6559	-
338	page-338.jpg	36	777	0.5639	-
339	page-339.jpg	52	977	0.5635	-
340	page-340.jpg	56	1364	0.4607	-
341	page-341.jpg	44	1331	0.6386	-
342	page-342.jpg	73	1466	0.5959	-
343	page-343.jpg	67	1130	0.4552	-
344	page-344.jpg	50	1029	0.5300	-
345	page-345.jpg	46	917	0.5674	-
346	page-346.jpg	34	1109	0.7235	-
347	page-347.jpg	66	1453	0.5939	-
348	page-348.jpg	83	1345	0.7277	-
349	page-349.jpg	80	1392	0.6875	-
350	page-350.jpg	49	1351	0.6041	-
351	page-351.jpg	56	1165	0.6089	-
352	page-352.jpg	58	1201	0.4828	-
353	page-353.jpg	57	844	0.4579	-
354	page-354.jpg	59	750	0.4814	-
355	page-355.jpg	63	1554	0.6794	-
356	page-356.jpg	64	1302	0.6344	-
357	page-357.jpg	73	1329	0.7205	-
358	page-358.jpg	47	1026	0.6213	-
359	page-359.jpg	81	1483	0.7086	-
360	page-360.jpg	66	1273	0.6515	-
361	page-361.jpg	101	1535	0.7366	-
362	page-362.jpg	101	2239	0.6851	-
363	page-363.jpg	53	1340	0.6547	-
364	page-364.jpg	52	1102	0.7058	-
365	page-365.jpg	51	1025	0.6608	-
366	page-366.jpg	77	1413	0.7156	-
367	page-367.jpg	59	960	0.6695	-
368	page-368.jpg	73	1327	0.7219	-
369	page-369.jpg	78	1542	0.6974	-
370	page-370.jpg	130	1688	0.7700	-
371	page-371.jpg	50	1413	0.6120	-
372	page-372.jpg	55	1302	0.5164	-
373	page-373.jpg	64	1075	0.5406	-
374	page-374.jpg	64	1127	0.6047	-
375	page-375.jpg	97	1089	0.5144	-
376	page-376.jpg	68	1227	0.6853	-
377	page-377.jpg	42	1237	0.5571	-
378	page-378.jpg	43	1049	0.4860	-
379	page-379.jpg	29	560	0.5586	-
380	page-380.jpg	35	983	0.6571	-
381	page-381.jpg	45	1302	0.6889	-
382	page-382.jpg	51	1260	0.6725	-
383	page-383.jpg	41	943	0.6463	-
384	page-384.jpg	86	1303	0.7047	-
385	page-385.jpg	43	1050	0.6186	-
386	page-386.jpg	79	1358	0.6924	-
387	page-387.jpg	54	1209	0.6222	-
388	page-388.jpg	76	1278	0.7539	-
389	page-389.jpg	79	1440	0.6101	-
390	page-390.jpg	103	1829	0.7573	-
391	page-391.jpg	77	1751	0.4610	-
392	page-392.jpg	72	1507	0.6625	-
393	page-393.jpg	88	1421	0.6625	-
394	page-394.jpg	53	1443	0.6245	-
395	page-395.jpg	71	1481	0.6606	-
396	page-396.jpg	70	1419	0.6586	-
397	page-397.jpg	63	1272	0.7063	-
398	page-398.jpg	65	1529	0.7169	-
