PDF页码	图片文件	行数	字符数	平均置信度	错误
229	page-229.jpg	35	1058	0.7886	-
230	page-230.jpg	49	947	0.8878	-
231	page-231.jpg	49	725	0.6918	-
232	page-232.jpg	63	898	0.6698	-
233	page-233.jpg	52	908	0.7135	-
234	page-234.jpg	53	677	0.6604	-
235	page-235.jpg	50	833	0.7240	-
236	page-236.jpg	57	938	0.6807	-
237	page-237.jpg	43	844	0.6558	-
238	page-238.jpg	48	660	0.7063	-
239	page-239.jpg	53	786	0.6811	-
240	page-240.jpg	57	890	0.6895	-
241	page-241.jpg	41	1019	0.7390	-
242	page-242.jpg	55	789	0.7436	-
243	page-243.jpg	50	475	0.7440	-
244	page-244.jpg	42	706	0.7429	-
245	page-245.jpg	47	782	0.6426	-
246	page-246.jpg	52	897	0.7019	-
247	page-247.jpg	42	1175	0.7738	-
248	page-248.jpg	41	1067	0.8122	-
249	page-249.jpg	43	1038	0.7163	-
250	page-250.jpg	42	958	0.8024	-
251	page-251.jpg	53	1079	0.8113	-
252	page-252.jpg	66	897	0.7485	-
253	page-253.jpg	85	989	0.7376	-
254	page-254.jpg	74	932	0.8068	-
255	page-255.jpg	69	1179	0.6928	-
256	page-256.jpg	69	1066	0.6667	-
257	page-257.jpg	56	778	0.6161	-
258	page-258.jpg	43	1102	0.8116	-
259	page-259.jpg	39	1268	0.8487	-
260	page-260.jpg	69	898	0.8043	-
261	page-261.jpg	79	1236	0.7405	-
262	page-262.jpg	38	895	0.7868	-
263	page-263.jpg	50	954	0.8080	-
264	page-264.jpg	51	724	0.8137	-
265	page-265.jpg	65	644	0.7277	-
266	page-266.jpg	65	1119	0.6908	-
267	page-267.jpg	128	1206	0.6695	-
268	page-268.jpg	101	1068	0.6485	-
269	page-269.jpg	82	1091	0.7744	-
270	page-270.jpg	106	1235	0.8151	-
271	page-271.jpg	58	854	0.6879	-
272	page-272.jpg	54	1148	0.7296	-
273	page-273.jpg	63	919	0.7190	-
274	page-274.jpg	41	1399	0.7463	-
275	page-275.jpg	38	960	0.8237	-
276	page-276.jpg	98	1118	0.7184	-
277	page-277.jpg	8	180	0.7000	-
278	page-278.jpg	40	812	0.7550	-
279	page-279.jpg	44	1011	0.6523	-
280	page-280.jpg	80	883	0.7587	-
281	page-281.jpg	59	1188	0.7780	-
282	page-282.jpg	89	863	0.7011	-
283	page-283.jpg	42	1203	0.7310	-
284	page-284.jpg	83	778	0.7289	-
285	page-285.jpg	54	1114	0.6556	-
286	page-286.jpg	92	1037	0.6304	-
287	page-287.jpg	48	1244	0.6896	-
288	page-288.jpg	38	1093	0.6711	-
289	page-289.jpg	39	1094	0.7333	-
290	page-290.jpg	44	1151	0.5932	-
291	page-291.jpg	6	152	0.7667	-
292	page-292.jpg	36	971	0.8417	-
293	page-293.jpg	40	754	0.8400	-
294	page-294.jpg	41	1150	0.8537	-
295	page-295.jpg	45	1041	0.8289	-
296	page-296.jpg	47	1186	0.7362	-
297	page-297.jpg	73	1392	0.5521	-
298	page-298.jpg	94	888	0.7415	-
299	page-299.jpg	50	1317	0.7680	-
300	page-300.jpg	44	1180	0.9000	-
301	page-301.jpg	48	836	0.8125	-
302	page-302.jpg	52	1142	0.6769	-
303	page-303.jpg	53	1802	0.7623	-
304	page-304.jpg	51	1118	0.7784	-
305	page-305.jpg	49	1053	0.6918	-
306	page-306.jpg	41	1197	0.7805	-
307	page-307.jpg	57	1051	0.8316	-
308	page-308.jpg	49	1036	0.7082	-
309	page-309.jpg	41	1247	0.7951	-
310	page-310.jpg	42	999	0.7595	-
311	page-311.jpg	44	845	0.6682	-
312	page-312.jpg	40	1179	0.6375	-
313	page-313.jpg	41	1147	0.6805	-
314	page-314.jpg	49	891	0.7878	-
315	page-315.jpg	50	872	0.7560	-
316	page-316.jpg	41	1303	0.8244	-
317	page-317.jpg	61	1261	0.5393	-
318	page-318.jpg	63	1183	0.6952	-
319	page-319.jpg	40	971	0.7075	-
320	page-320.jpg	35	598	0.5771	-
321	page-321.jpg	44	532	0.5182	-
322	page-322.jpg	49	936	0.7388	-
323	page-323.jpg	74	993	0.7486	-
324	page-324.jpg	61	1034	0.5820	-
325	page-325.jpg	80	1077	0.5062	-
326	page-326.jpg	79	832	0.6089	-
327	page-327.jpg	61	850	0.7754	-
328	page-328.jpg	38	934	0.7184	-
329	page-329.jpg	60	931	0.6683	-
330	page-330.jpg	55	1116	0.7000	-
331	page-331.jpg	40	1279	0.8150	-
332	page-332.jpg	41	778	0.6171	-
333	page-333.jpg	17	441	0.6529	-
334	page-334.jpg	34	940	0.7882	-
335	page-335.jpg	40	1149	0.8250	-
336	page-336.jpg	74	941	0.7446	-
337	page-337.jpg	83	911	0.7108	-
338	page-338.jpg	86	811	0.8407	-
339	page-339.jpg	43	1064	0.5326	-
340	page-340.jpg	51	1331	0.6392	-
341	page-341.jpg	59	926	0.7763	-
342	page-342.jpg	49	1006	0.8837	-
343	page-343.jpg	37	705	0.8432	-
344	page-344.jpg	70	1096	0.8514	-
345	page-345.jpg	44	1020	0.8432	-
346	page-346.jpg	60	1230	0.7383	-
347	page-347.jpg	60	1197	0.8000	-
348	page-348.jpg	76	769	0.7855	-
349	page-349.jpg	93	820	0.7441	-
350	page-350.jpg	80	729	0.6787	-
351	page-351.jpg	80	999	0.6662	-
352	page-352.jpg	43	1276	0.7791	-
353	page-353.jpg	45	1168	0.7844	-
354	page-354.jpg	81	1710	0.5346	-
355	page-355.jpg	24	168	0.7125	-
356	page-356.jpg	39	1091	0.6410	-
357	page-357.jpg	139	1075	0.6050	-
358	page-358.jpg	162	944	0.6877	-
359	page-359.jpg	53	795	0.7113	-
360	page-360.jpg	47	685	0.6787	-
361	page-361.jpg	55	807	0.8000	-
362	page-362.jpg	56	764	0.6964	-
363	page-363.jpg	54	973	0.6370	-
364	page-364.jpg	48	828	0.8021	-
365	page-365.jpg	40	614	0.7700	-
366	page-366.jpg	42	646	0.7262	-
367	page-367.jpg	38	462	0.7237	-
368	page-368.jpg	38	720	0.7289	-
369	page-369.jpg	42	856	0.6429	-
370	page-370.jpg	16	246	0.5938	-
371	page-371.jpg	51	711	0.7098	-
372	page-372.jpg	47	1040	0.7085	-
373	page-373.jpg	12	187	0.6167	-
374	page-374.jpg	42	918	0.5738	-
375	page-375.jpg	75	922	0.5240	-
376	page-376.jpg	54	771	0.5722	-
377	page-377.jpg	53	623	0.5981	-
378	page-378.jpg	62	827	0.6435	-
379	page-379.jpg	74	649	0.5068	-
380	page-380.jpg	77	765	0.5506	-
381	page-381.jpg	50	782	0.5520	-
382	page-382.jpg	47	800	0.5745	-
383	page-383.jpg	65	991	0.5615	-
384	page-384.jpg	102	883	0.5794	-
385	page-385.jpg	59	687	0.6153	-
386	page-386.jpg	42	646	0.6405	-
387	page-387.jpg	60	876	0.7583	-
388	page-388.jpg	91	968	0.7341	-
389	page-389.jpg	51	769	0.7137	-
390	page-390.jpg	86	1020	0.7581	-
391	page-391.jpg	64	821	0.7562	-
392	page-392.jpg	77	1189	0.7221	-
393	page-393.jpg	46	502	0.7913	-
394	page-394.jpg	35	764	0.5457	-
395	page-395.jpg	55	724	0.5109	-
396	page-396.jpg	44	1117	0.5409	-
397	page-397.jpg	56	1062	0.5000	-
398	page-398.jpg	50	793	0.5360	-
399	page-399.jpg	61	910	0.5295	-
400	page-400.jpg	12	246	0.5083	-
401	page-401.jpg	39	816	0.7077	-
402	page-402.jpg	45	1001	0.8200	-
403	page-403.jpg	63	795	0.7286	-
404	page-404.jpg	56	980	0.7804	-
405	page-405.jpg	66	991	0.7939	-
